,ascore,dscore,escore,fscore,ncbiTaxonId,nscore,preferredName_A,preferredName_B,pscore,score,stringId_A,stringId_B,tscore
0,0.0,0.0,0.456,0.0,9606,0.0,CCND1,RALA,0.0,0.559,ENSP00000227507,ENSP00000005257,0.223
1,0.0,0.0,0.0,0.0,9606,0.0,CCND1,DVL2,0.0,0.493,ENSP00000227507,ENSP00000005340,0.493
2,0.0,0.0,0.0,0.0,9606,0.0,CCND1,CDH17,0.0,0.53,ENSP00000227507,ENSP00000027335,0.53
3,0.061,0.9,0.0,0.0,9606,0.0,CCND1,PSMA4,0.0,0.902,ENSP00000227507,ENSP00000044462,0.046
4,0.0,0.0,0.0,0.0,9606,0.0,CCND1,CD22,0.0,0.4,ENSP00000227507,ENSP00000085219,0.4
5,0.0,0.9,0.0,0.0,9606,0.0,CCND1,PSMC4,0.0,0.901,ENSP00000227507,ENSP00000157812,0.057
6,0.0,0.9,0.0,0.0,9606,0.0,CCND1,ACTL6B,0.0,0.915,ENSP00000227507,ENSP00000160382,0.194
7,0.0,0.0,0.0,0.0,9606,0.0,CCND1,BCL3,0.0,0.51,ENSP00000227507,ENSP00000164227,0.51
8,0.11,0.0,0.0,0.0,9606,0.0,CCND1,FSTL3,0.0,0.432,ENSP00000227507,ENSP00000166139,0.388
9,0.0,0.0,0.0,0.0,9606,0.0,CCND1,KRT14,0.0,0.416,ENSP00000227507,ENSP00000167586,0.417
10,0.0,0.0,0.0,0.0,9606,0.0,CCND1,FGF4,0.0,0.482,ENSP00000227507,ENSP00000168712,0.482
11,0.0,0.0,0.0,0.0,9606,0.0,CCND1,TNS1,0.0,0.589,ENSP00000227507,ENSP00000171887,0.589
12,0.0,0.72,0.0,0.0,9606,0.0,CCND1,CDK13,0.0,0.731,ENSP00000227507,ENSP00000181839,0.08
13,0.0,0.0,0.078,0.0,9606,0.0,CCND1,REM1,0.0,0.717,ENSP00000227507,ENSP00000201979,0.706
14,0.086,0.0,0.0,0.0,9606,0.0,CCND1,CDC6,0.0,0.631,ENSP00000227507,ENSP00000209728,0.612
15,0.0,0.9,0.0,0.0,9606,0.0,CCND1,PSMD5,0.0,0.923,ENSP00000227507,ENSP00000210313,0.266
16,0.076,0.0,0.0,0.0,9606,0.0,CCND1,VCL,0.0,0.447,ENSP00000227507,ENSP00000211998,0.426
17,0.048,0.0,0.0,0.0,9606,0.0,CCND1,SIRT1,0.0,0.547,ENSP00000227507,ENSP00000212015,0.544
18,0.0,0.9,0.0,0.0,9606,0.0,CCND1,PSMD8,0.0,0.901,ENSP00000227507,ENSP00000215071,0.055
19,0.061,0.9,0.0,0.0,9606,0.0,CCND1,MAPK12,0.0,0.917,ENSP00000227507,ENSP00000215659,0.19
20,0.061,0.0,0.0,0.0,9606,0.0,CCND1,MMP11,0.0,0.402,ENSP00000227507,ENSP00000215743,0.389
21,0.0,0.0,0.0,0.0,9606,0.0,CCND1,USP18,0.0,0.52,ENSP00000227507,ENSP00000215794,0.519
22,0.0,0.0,0.348,0.0,9606,0.0,CCND1,MAPK1,0.0,0.887,ENSP00000227507,ENSP00000215832,0.834
23,0.0,0.0,0.0,0.0,9606,0.0,CCND1,XBP1,0.0,0.422,ENSP00000227507,ENSP00000216037,0.423
24,0.0,0.0,0.0,0.0,9606,0.0,CCND1,HMOX1,0.0,0.422,ENSP00000227507,ENSP00000216117,0.423
25,0.085,0.0,0.0,0.0,9606,0.0,CCND1,MCM5,0.0,0.443,ENSP00000227507,ENSP00000216122,0.416
26,0.0,0.0,0.294,0.0,9606,0.0,CCND1,RBX1,0.0,0.492,ENSP00000227507,ENSP00000216225,0.31
27,0.0,0.9,0.0,0.0,9606,0.0,CCND1,PSMA3,0.0,0.901,ENSP00000227507,ENSP00000216455,0.057
28,0.0,0.0,0.0,0.0,9606,0.0,CCND1,VRK1,0.0,0.609,ENSP00000227507,ENSP00000216639,0.608
