,mRNA_RB1,DNA_RB1,mRNA_CDH1,DNA_CDH1,mRNA_PTEN,DNA_PTEN,mRNA_BRCA2,DNA_BRCA2,mRNA_CDKN2A,DNA_CDKN2A,mRNA_TP53,DNA_TP53,mRNA_CTNNB1,DNA_CTNNB1,mRNA_CCNE1,DNA_CCNE1,mRNA_CCND1,DNA_CCND1,mRNA_CDH2,DNA_CDH2,mRNA_CDH3,DNA_CDH3,mRNA_ERBB2,DNA_ERBB2,mRNA_ERBB3,DNA_ERBB3
TCGA-A1-A0SF-01,-0.16906190945005906,0.6457673093407632,0.5035462404762701,-0.28131596406953774,0.25310963696670497,1.4700384629417567,-0.6561374714028507,0.4019932237620662,-0.3100302467490943,-0.5891207958835677,0.03339842954929468,-0.2790808452443794,-0.7827985024277657,-1.0026243122139906,-0.28192704092608245,0.29092394445967584,-0.4811207923670084,-0.4928882729776317,-0.18557849287530456,0.028001862494111872,-0.15508260726824213,-0.2803623194929148,-0.2554009246797767,-0.35070513426371974,1.2566730840174762,1.2769326417833808
TCGA-A1-A0SH-01,-0.007996784906698586,0.5114108268262139,-0.2180359735316857,-0.5086803353229965,0.8220288189235418,0.3721760007729935,-0.6759016337448754,0.2713487615291372,-0.051542988029880825,0.22272166019854814,-0.5169208810006582,-0.49102829919630153,0.625140256756931,0.3653831709463402,-0.35973876391740295,-0.20575122329832776,-0.3991772313545125,-0.46779258780027655,0.15693223121479266,0.04201843723976788,-0.24748019938261384,-0.5126460670566328,-0.0030312020831509867,0.0674556332812209,-0.15560030884923198,-0.11661168878292162
TCGA-A1-A0SJ-01,1.1215285830610633,0.058287003443811825,5.444904625953409,1.8276845830746153,-0.1252779730714176,-1.3304969195965253,0.11095834871795576,1.2524630563372123,-0.29816954387672734,-0.9370532770616172,-0.6691192344396375,-0.631287643723309,-0.09153465644482892,0.27875472874093665,-0.2207545167880794,0.476514309636154,0.6658140631440027,0.3083811037564927,-0.08052870368434291,1.0091620946900322,-0.27603184721534185,1.8742696837705395,-0.221704278792577,-0.06846826010295237,-0.061644416302789336,-1.3725655664578678
TCGA-A1-A0SK-01,-1.9781099110426072,-2.821156827701336,-0.9858884903509676,-1.29008202503316,-1.2303175067328467,0.33273184045555293,3.7717353275072694,2.9431560969986466,0.7809576389838986,0.5776127910001586,4.864307707026516,0.09494407349430699,-1.002964541643203,-2.377850832224772,0.7878011794035915,0.07351808811008709,-0.6713742211092827,-0.3826465130913931,1.2163406222784332,0.40644938062682395,-0.34117020436384554,-1.3109545787986068,-0.44878408234532186,-0.5723389986353652,-1.2443734479360362,0.1303455343554105
TCGA-A1-A0SQ-01,-0.07963782606813276,-1.2773744992008267,2.1499107957954773,0.60723445232329,0.4610926429683733,0.30643573357725923,-0.7240595539479556,-1.4680157454543694,-0.2991580473352096,0.22968030982210913,-1.2547104297630944,-1.4603762135940639,-0.5465635621166374,0.33650702354453904,-0.3539910762897476,-0.30296522410505444,3.892253710357558,2.7910613873734103,4.99073582417583,0.03734624565788253,-0.548288032817039,0.6274132456986273,-0.3156787131156522,-0.38620118285449107,1.6756006177988791,-0.13777945076620723
TCGA-A2-A04N-01,0.20534650864073123,0.5693685251658234,-0.5293570434770377,-1.1672529968847396,-0.1294249092744611,0.36231496069363334,-0.692969847864231,0.32770519621785166,-0.28869427863107405,0.24823670881827176,0.9018981346261369,1.2232525783560109,-0.17997571381573504,0.3292879866940887,-0.3682956270109836,-0.17747078670000727,-0.268317791974393,-0.4821329793301938,-0.12051391123665685,0.051362820403538546,-0.3874204300225838,-1.1854679565515405,-0.3044030347377009,-0.2511430467530196,0.37217296946559003,-0.10249984746073122
TCGA-A2-A04P-01,-1.355142228959005,-0.6740875483021633,-1.0545189126490233,-0.5766283083412717,0.06778892892986645,0.04676167815410868,-0.4972207333264404,1.0552155349267116,2.422527672377693,-0.8280344329591617,-1.3338474565495115,-0.6842745072112897,-1.4807739975554788,-1.331090488909479,0.43706048196469116,0.6833150022613728,-0.66712100029581,0.061009349865420726,-0.004338855336878908,1.6118748087532402,-0.05207428273168296,-0.5820641985124567,-0.3816115838350492,-0.7619398435470465,-1.1098886000094534,-1.8453122507512465
TCGA-A2-A04Q-01,-0.43995992646169496,0.11097582011618419,-0.1743611964787334,0.7091564118507027,-1.409263488160448,0.7501825371484658,-0.6486125353786103,-0.11802296904743569,0.02047735708680993,2.0064555137046822,-0.9347962325790451,0.6559814516023366,1.9688050983207102,0.1812977312598577,0.34750041958636707,-0.07141914945630543,-0.4772550551803463,-0.5197765070962265,-0.1617544334524872,-0.06544196914359482,4.436413025766345,0.731540442882363,-0.372488237813087,-0.3091487846940362,-1.4553732556124406,-0.12719556977456445
TCGA-A2-A04T-01,-1.6457608088230595,2.1342263803352814,1.1032642809103688,1.634294198330294,-1.310224663037729,-0.604066967083661,3.45165244391546,3.5835701275522203,0.4033290896657728,-0.781643435468755,2.6921599145847397,-0.35700270331493894,-0.6227959322707882,-1.1036908281202946,1.3666230775361288,0.6797799476865827,-0.648433302504796,-0.2266947552035434,0.19229124406333672,4.368467842065588,2.2152492189734985,1.6766950019347335,-0.33082456147330214,-0.6649750278844514,-0.010141908587211446,0.9241366087286208
TCGA-A2-A04U-01,-1.8582419444537908,-1.424903185883469,-1.0284908712240546,-1.3789370666724425,0.15449400117111906,2.071561907782726,-0.9154763320296149,-1.1836719158885824,9.524479704185593,7.1372998361436535,-1.5769188287078848,-1.5227137000505118,0.9177469917958568,2.596065557735481,1.1424246127596722,0.9166286041975168,-0.572853722263926,-0.05461005684453677,0.006805603753118901,0.6517394386758041,-0.15398635113325254,-1.4017321353177608,-0.40409782913367553,-0.4918235713441034,-1.4270583282226506,1.16050995087531
