,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A1-A0SF-01,0.017184,0.70568,0.19773,0.10855,0.1755,-0.47255,0.06978,-0.7540100000000001,-0.20235999999999998,-0.222,-0.11406,0.25604,0.46141000000000004
TCGA-A1-A0SH-01,-0.08189600000000001,0.018364,0.69916,-0.28243,0.68156,-0.035545,-0.11192,-0.77956,-0.014111000000000002,0.072251,-0.031553,0.6835399999999999,0.03367
TCGA-A1-A0SJ-01,-0.10609,0.11431,-0.11055,0.10822000000000001,-0.009889499999999999,-0.43185,-0.85672,-0.29589,0.29076,-0.22532,0.12822999999999998,0.36458,0.43062
TCGA-A1-A0SK-01,-0.060244000000000006,-0.9638200000000001,-0.081596,0.30915,1.2363,0.8984700000000001,-0.85965,0.9267,0.045974,0.38979,-0.22409,-1.0413,-0.056603999999999995
TCGA-A1-A0SQ-01,0.3765,0.42549,0.6574399999999999,0.0031869,-0.3458,-0.020122,0.39368000000000003,-1.0275,0.36249000000000003,0.29288000000000003,-0.14485,0.31196,0.6492600000000001
TCGA-A2-A04N-01,-0.08331799999999999,-0.31566,0.0074602,-0.054615,0.41888000000000003,-0.071909,-0.8859799999999999,-0.87859,0.11798,-0.13912,-0.028698,-0.46093,-0.23015
TCGA-A2-A04P-01,-0.40795,0.14304,1.1787,0.051677999999999995,1.1143,-0.13476,-0.053876,0.32282,-0.32888,-0.34139,0.052395000000000004,-0.14493,0.24720999999999999
TCGA-A2-A04Q-01,0.5090100000000001,-0.22074000000000002,-0.089276,0.058887,-0.46108000000000005,0.51788,-0.92109,-0.7467,0.2832,0.8194,0.34053,-0.75968,-0.25622
TCGA-A2-A04T-01,-0.27085,0.051261,-0.19205,0.18573,1.3962,1.0255,-0.40543,0.45148,-0.13149,-0.33165,0.022954,-0.24328000000000002,0.15804
TCGA-A2-A04U-01,0.059188,-0.7286,0.6520100000000001,0.40038,2.3143,0.046902,-1.069,0.44832,0.088738,-0.034052,0.037357999999999995,-0.68882,-0.48073
TCGA-A2-A04V-01,-0.16859000000000002,0.056612,0.23043000000000002,0.1481,0.13168,-0.37383,-0.34508,-0.80523,0.043539999999999995,-0.46453999999999995,-0.049314,0.41812,0.96173
TCGA-A2-A04W-01,0.083873,-0.8813,0.11757000000000001,-0.09689,0.71338,0.13645,-0.8518700000000001,0.16676,0.28473000000000004,-0.26955999999999997,0.20854,2.2122,-0.49818999999999997
TCGA-A2-A04Y-01,-0.15939,0.72405,0.004626,0.1918,-0.16385999999999998,-0.18613,0.032175999999999996,-0.10025,0.06619900000000001,-0.54778,-0.058463,0.77642,0.55985
TCGA-A2-A0CK-01,-0.067061,-2.9872,0.056223,-0.037764,-0.36043000000000003,0.11333,-2.1199,-0.99041,0.19738,-0.0463,-0.049250999999999996,-0.060275,0.4213
TCGA-A2-A0CL-01,-0.032646,-0.9223,-0.057620000000000005,-0.11971,-0.3958,0.17567,-1.1067,-0.36072,0.00019726,0.039187,-0.11445999999999999,-0.72297,-0.23840999999999998
TCGA-A2-A0CM-01,-0.18364,0.0053406999999999994,0.3553,-0.16541,1.4372,0.34026,0.16699999999999998,0.6432,-0.011647,-0.24684,-0.13264,-0.22954000000000002,0.5891
TCGA-A2-A0CP-01,0.019331,-0.32508000000000004,0.075924,0.090861,0.57077,0.06942100000000001,-0.37794,-0.8425299999999999,0.21998,0.035064,0.015144,-0.61246,0.018243000000000002
TCGA-A2-A0CQ-01,-0.15988,1.0495,0.17778,0.19088,-0.50105,-0.12322000000000001,0.60117,-1.0268,0.074085,-0.28757,-0.067678,0.43706999999999996,0.48283000000000004
TCGA-A2-A0CR-01,-0.048889,-3.8259,-0.22229000000000002,0.19547,0.15974000000000002,-0.14677,-1.5355,-0.96306,0.15017,0.18300999999999998,0.16923,-0.9095799999999999,-0.049297
TCGA-A2-A0CS-01,-0.14026,0.28936,0.14902,-0.050533999999999996,0.5133300000000001,-0.15295,0.073075,-0.77657,0.040978,-0.54957,-0.0055878,-0.058816,-0.019207
