Protein,Regressor,Case,Normalization,Train/Test,MAPE,NRMSE,Pearson,R2,RMSE,Spearman,Pearson Improvement,Spearman Improvement
BRCA2,ElasticNet,AllInteractionPartners_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,AllInteractionPartners_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,AllInteractionPartners_Mutations,TMM,Train,146.0427394,0.124200152,0.250707009,0.041992946,0.190904649,0.238544729,0.247342913,0.232042497
BRCA2,ElasticNet,AllInteractionPartners_Mutations,TMM,Test,147.2209439,0.176415151,0.186085403,0.004090659,0.192575921,0.166296377,,
BRCA2,ElasticNet,AllInteractionPartners_Mutations,UN,Train,262.6139378,0.071374188,0.826797389,0.683529662,0.109724045,0.797337988,0.799646324,0.77339894
BRCA2,ElasticNet,AllInteractionPartners_Mutations,UN,Test,816.0568162,0.304103045,0.036158233,-1.938629171,0.329180707,0.031292315,0.118290593,0.098963154
BRCA2,ElasticNet,AllInteractionPartners_Mutations,ZScore,Train,179.6503299,0.112722664,0.499554784,0.210530283,0.173284544,0.471608199,0.472403719,0.447669151
ERBB2,ElasticNet,selfmRNA_CNA_Mutations,ZScore,Test,294.9602202,0.106850249,0.820267354,0.658101659,0.571563164,0.61434692,0.058451836,-0.022840718
BRCA2,ElasticNet,AllmRNA_Mutations,MinMax,Train,115.848067,0.126892719,,0,0.195050248,,,
BRCA2,ElasticNet,AllmRNA_Mutations,MinMax,Test,114.8021829,0.1788146,,-0.023801186,0.195262474,,,
BRCA2,ElasticNet,AllmRNA_Mutations,TMM,Train,172.9476742,0.104937454,0.647952244,0.315521817,0.161295369,0.623828983,0.644588148,0.61732675
BRCA2,ElasticNet,AllmRNA_Mutations,TMM,Test,186.9487883,0.169150465,0.325195016,0.082270447,0.184641429,0.317900748,,
BRCA2,ElasticNet,AllmRNA_Mutations,UN,Train,0.827666101,0.000198758,0.999999048,0.999997544,0.00030562,0.999993887,0.972847984,0.976054839
BRCA2,ElasticNet,AllmRNA_Mutations,UN,Test,700.4172915,0.277936554,0.119659439,-1.534236172,0.303730579,0.144999317,0.201791798,0.212670157
BRCA2,ElasticNet,AllmRNA_Mutations,ZScore,Train,161.2284795,0.075881543,0.869143694,0.642116169,0.116633648,0.821831399,0.841992629,0.797892351
CCNE1,ElasticNet,AllInteractionPartners_Mutations,ZScore,Test,68.52285269,0.108245797,0.814766026,0.646283549,0.281263386,0.650525656,0.050390134,-0.065271248
